,title,runtime,rating,genre,summary,gross,release_year,matches,category,nominee,oscar_year,winner
51,American Sniper,133 min,R,"Action, Biography, Drama","Navy S.E.A.L. sniper Chris Kyle's pinpoint accuracy saves countless lives on the battlefield and turns him into a legend. Back home with his family after four tours of duty, however, Chris finds that it is the war he can't leave behind.","350,126,372.00",2014,American Sniper,Best Picture,American Sniper,2015,0
52,Nebraska,115 min,R,"Adventure, Comedy, Drama","An aging, booze-addled father makes the trip from Montana to Nebraska with his estranged son in order to claim a million-dollar Mega Sweepstakes Marketing prize.","17,654,912.00",2013,Nebraska,Best Picture,Nebraska,2014,0
53,Her,126 min,R,"Drama, Romance, Sci-Fi","In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need.","25,568,251.00",2013,Her,Best Picture,Her,2014,0
54,Dallas Buyers Club,117 min,R,"Biography, Drama","In 1985 Dallas, electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease.","27,298,285.00",2013,Dallas Buyers Club,Best Picture,Dallas Buyers Club,2014,0
55,Philomena,98 min,PG-13,"Biography, Comedy, Drama","A world-weary political journalist picks up the story of a woman's search for her son, who was taken away from her decades ago after she became pregnant and was forced to live in a convent.","37,707,719.00",2013,Philomena,Best Picture,Philomena,2014,0
56,12 Years a Slave,134 min,R,"Biography, Drama, History","In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.","56,671,993.00",2013,12 Years a Slave,Best Picture,12 Years a Slave,2014,1
57,Captain Phillips,134 min,PG-13,"Action, Biography, Crime","The true story of Captain Richard Phillips and the 2009 hijacking by Somali pirates of the U.S.-flagged MV Maersk Alabama, the first American cargo ship to be hijacked in two hundred years.","107,100,855.00",2013,Captain Phillips,Best Picture,Captain Phillips,2014,0
58,The Wolf of Wall Street,180 min,R,"Biography, Comedy, Crime","Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.","116,900,694.00",2013,The Wolf of Wall Street,Best Picture,The Wolf of Wall Street,2014,0
59,American Hustle,138 min,R,"Crime, Drama","A con man, Irving Rosenfeld, along with his seductive partner Sydney Prosser, is forced to work for a wild F.B.I. Agent, Richie DiMaso, who pushes them into a world of Jersey powerbrokers and the Mafia.","150,117,807.00",2013,American Hustle,Best Picture,American Hustle,2014,0
60,Gravity,91 min,PG-13,"Sci-Fi, Thriller",Two astronauts work together to survive after an accident leaves them stranded in space.,"274,092,705.00",2013,Gravity,Best Picture,Gravity,2014,0
61,Amour,127 min,PG-13,Drama,"Georges and Anne are an octogenarian couple. They are cultivated, retired music teachers. Their daughter, also a musician, lives in Britain with her family. One day, Anne has a stroke, and the couple's bond of love is severely tested.","6,739,492.00",2012,Amour,Best Picture,Amour,2013,0
62,Beasts of the Southern Wild,93 min,PG-13,"Adventure, Drama, Fantasy","Faced with both her hot-tempered father's fading health and melting ice-caps that flood her ramshackle bayou community and unleash ancient aurochs, six-year-old Hushpuppy must learn the ways of courage and love.","12,795,746.00",2012,Beasts of the Southern Wild,Best Picture,Beasts of the Southern Wild,2013,0
63,Zero Dark Thirty,157 min,R,"Drama, History, Thriller","A chronicle of the decade-long hunt for al-Qaeda terrorist leader Osama bin Laden after the September 2001 attacks, and his death at the hands of the Navy S.E.A.L.s Team 6 in May 2011.","95,720,716.00",2012,Zero Dark Thirty,Best Picture,Zero Dark Thirty,2013,0
64,Life of Pi,127 min,PG,"Adventure, Drama, Fantasy","A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger.","124,987,023.00",2012,Life of Pi,Best Picture,Life of Pi,2013,0
65,Silver Linings Playbook,122 min,R,"Comedy, Drama, Romance","After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own.","132,092,958.00",2012,Silver Linings Playbook,Best Picture,Silver Linings Playbook,2013,0
66,Argo,120 min,R,"Biography, Drama, Thriller","Acting under the cover of a Hollywood producer scouting a location for a science fiction film, a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1979.","136,025,503.00",2012,Argo,Best Picture,Argo,2013,1
67,Les Misérables,158 min,PG-13,"Drama, Musical, Romance","In 19th-century France, Jean Valjean, who for decades has been hunted by the ruthless policeman Javert after breaking parole, agrees to care for a factory worker's daughter. The decision changes their lives forever.","148,809,770.00",2012,Les Mis_rables,Best Picture,Les Mis_rables,2013,0
