,film,producer,release_year
366,Born on the Fourth of July,A. Kitman Ho and Oliver Stone,1989
367,Dead Poets Society,"Steven Haft, Paul Junger Witt, and Tony Thomas",1989
368,Field of Dreams,Lawrence Gordon and Charles Gordon,1989
369,My Left Foot,Noel Pearson,1989
370,Dances with Wolves,Jim Wilson and Kevin Costner,1990
371,Awakenings,Walter Parkes and Lawrence Lasker,1990
372,Ghost,Lisa Weinstein,1990
373,The Godfather Part III,Francis Ford Coppola,1990
374,Goodfellas,Irwin Winkler,1990
375,The Silence of the Lambs,"Edward Saxon, Kenneth Utt, and Ron Bozman",1991
376,Beauty and the Beast,Don Hahn,1991
377,Bugsy,"Mark Johnson, Barry Levinson and Warren Beatty",1991
378,JFK,A. Kitman Ho and Oliver Stone,1991
379,The Prince of Tides,Barbra Streisand and Andrew S. Karsch,1991
380,Unforgiven,Clint Eastwood,1992
381,The Crying Game,Stephen Woolley,1992
382,A Few Good Men,"David Brown, Rob Reiner, and Andrew Scheinman",1992
383,Howards End,Ismail Merchant,1992
384,Scent of a Woman,Martin Brest,1992
385,Schindler's List,"Steven Spielberg, Gerald R. Molen, and Branko Lustig",1993
386,The Fugitive,Arnold Kopelson,1993
387,In the Name of the Father,Jim Sheridan,1993
388,The Piano,Jan Chapman,1993
389,The Remains of the Day,"Mike Nichols, John Calley, and Ismail Merchant",1993
390,Forrest Gump,"Wendy Finerman, Steve Tisch, and Steve Starkey",1994
391,Four Weddings and a Funeral,Duncan Kenworthy,1994
392,Pulp Fiction,Lawrence Bender,1994
393,Quiz Show,"Michael Jacobs, Julian Krainin, Michael Nozik, and Robert Redford",1994
394,The Shawshank Redemption,Niki Marvin,1994
395,Braveheart,"Mel Gibson, Alan Ladd Jr., and Bruce Davey",1995
396,Apollo 13,Brian Grazer,1995
397,Babe,"Bill Miller, George Miller, and Doug Mitchell",1995
398,The Postman (Il Postino),"Mario Cecchi Gori, Vittorio Cecchi Gori, and Gaetano Daniele",1995
399,Sense and Sensibility,Lindsay Doran,1995
400,The English Patient,Saul Zaentz,1996
401,Fargo,Ethan Coen,1996
402,Jerry Maguire,"James L. Brooks, Laurence Mark, Richard Sakai, and Cameron Crowe",1996
403,Secrets & Lies,Simon Channing-Williams,1996
404,Shine,Jane Scott,1996
405,Titanic,James Cameron and Jon Landau,1997
406,As Good as It Gets,"James L. Brooks, Bridget Johnson, and Kristi Zea",1997
407,The Full Monty,Uberto Pasolini,1997
408,Good Will Hunting,Lawrence Bender,1997
409,L.A. Confidential,"Curtis Hanson, Arnon Milchan, and Michael Nathanson",1997
410,Shakespeare in Love,"David Parfitt, Donna Gigliotti, Harvey Weinstein, Edward Zwick, and Marc Norman",1998
411,Elizabeth,"Alison Owen, Eric Fellner and Tim Bevan",1998
412,Life Is Beautiful,Elda Ferri and Gianluigi Braschi,1998
413,Saving Private Ryan,"Steven Spielberg, Ian Bryce, Mark Gordon, and Gary Levinsohn",1998
414,The Thin Red Line,"Robert Michael Geisler, John Roberdeau, and Grant Hill",1998
415,American Beauty,Bruce Cohen and Dan Jinks,1999
416,The Cider House Rules,Richard N. Gladstein,1999
417,The Green Mile,Frank Darabont and David Valdes,1999
418,The Insider,Pieter Jan Brugge and Michael Mann,1999
419,The Sixth Sense,"Frank Marshall, Kathleen Kennedy, and Barry Mendel",1999
420,Gladiator,"Douglas Wick, David Franzoni, and Branko Lustig",2000
421,Chocolat,"David Brown, Kit Golden, and Leslie Holleran",2000
422,"Crouching Tiger, Hidden Dragon","William Kong, Hsu Li-kong, and Ang Lee",2000
423,Erin Brockovich,"Danny DeVito, Michael Shamberg, and Stacey Sher",2000
424,Traffic,"Edward Zwick, Marshall Herskovitz, and Laura Bickford",2000
425,A Beautiful Mind,Brian Grazer and Ron Howard,2001
426,Gosford Park,"Robert Altman, Bob Balaban, and David Levy",2001
427,In the Bedroom,"Graham Leader, Ross Katz, and Todd Field",2001
428,The Lord of the Rings: The Fellowship of the Ring,"Peter Jackson, Fran Walsh, and Barrie M. Osborne",2001
429,Moulin Rouge!,"Martin Brown, Baz Luhrmann, and Fred Baron",2001
430,Chicago,Martin Richards,2002
431,Gangs of New York,Alberto Grimaldi and Harvey Weinstein,2002
432,The Hours,Scott Rudin and Robert Fox,2002
433,The Lord of the Rings: The Two Towers,"Barrie M. Osborne, Fran Walsh, and Peter Jackson",2002
434,The Pianist,"Roman Polanski, Robert Benmussa, and Alain Sarde",2002
435,The Lord of the Rings: The Return of the King,"Barrie M. Osborne, Peter Jackson, and Fran Walsh",2003
436,Lost in Translation,Ross Katz and Sofia Coppola,2003
437,Master and Commander: The Far Side of the World,"Samuel Goldwyn Jr., Peter Weir, and Duncan Henderson",2003
438,Mystic River,"Robert Lorenz, Judie G. Hoyt, and Clint Eastwood",2003
439,Seabiscuit,"Kathleen Kennedy, Frank Marshall, and Gary Ross",2003
440,Million Dollar Baby,"Clint Eastwood, Albert S. Ruddy, and Tom Rosenberg",2004
441,The Aviator,Michael Mann and Graham King,2004
442,Finding Neverland,Richard N. Gladstein and Nellie Bellflower,2004
443,Ray,"Taylor Hackford, Stuart Benjamin, and Howard Baldwin",2004
