,title,runtime,rating,genre,summary
15,116.The Departed(2006),151 min,R,"Crime, Drama, Thriller","A law firm brings in its ""fixer"" to remedy the situation after a lawyer has a breakdown while representing a chemical company that he knows is guilty in a multibillion-dollar class action suit."
16,117.Babel(I) (2006),143 min,R,Drama,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business."
17,118.Letters from Iwo Jima(2006),141 min,R,"Action, Adventure, Drama",An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
18,119.Little Miss Sunshine(2006),101 min,R,"Comedy, Drama",
19,120.The Queen(2006),103 min,PG-13,"Biography, Drama","Tragedy strikes a married couple on vacation in the Moroccan desert, touching off an interlocking story involving four different families."
20,121.Crash(I) (2004),112 min,R,"Crime, Drama, Thriller","The story of the battle of Iwo Jima between the United States and Imperial Japan during World War II, as told from the perspective of the Japanese who fought it."
21,122.Brokeback Mountain(2005),134 min,R,"Drama, Romance",A family determined to get their young daughter into the finals of a beauty pageant take a cross-country trip in their VW bus.
22,123.Capote(2005),114 min,R,"Biography, Crime, Drama","After the death of Princess Diana, Queen Elizabeth II struggles with her reaction to a sequence of events nobody could have predicted."
23,"124.Good Night, and Good Luck.(2005)",93 min,PG,"Biography, Drama, History","Los Angeles citizens with vastly separate lives collide in interweaving stories of race, loss and redemption."
24,125.Munich(2005),164 min,R,"Action, Drama, History",
25,126.Million Dollar Baby(2004),132 min,PG-13,"Drama, Sport",Ennis and Jack are two shepherds who develop a sexual and emotional relationship. Their relationship becomes complicated when both of them get married to their respective girlfriends.
26,127.The Aviator(2004),170 min,PG-13,"Biography, Drama","In 1959, Truman Capote learns of the murder of a Kansas family and decides to write a book about the case. While researching for his novel In Cold Blood, Capote forms a relationship with one of the killers, Perry Smith, who is on death row."
27,128.Finding Neverland(2004),106 min,PG,"Biography, Drama, Family",Broadcast journalist Edward R. Murrow looks to bring down Senator Joseph McCarthy.
28,129.Ray(I) (2004),152 min,PG-13,"Biography, Drama, Music","After the Black September capture and massacre of Israeli athletes at the 1972 Olympics, five men are chosen to eliminate the people responsible for that fateful day."
29,130.Sideways(2004),127 min,R,"Comedy, Drama, Romance",A determined woman works with a hardened boxing trainer to become a professional.
30,131.The Lord of the Rings: The Return of the King(2003),201 min,PG-13,"Action, Adventure, Drama",
31,132.Lost in Translation(2003),102 min,R,"Comedy, Drama",A biopic depicting the early years of legendary director and aviator Howard Hughes' career from the late 1920s to the mid 1940s.
32,133.Master and Commander: The Far Side of the World(2003),138 min,PG-13,"Action, Adventure, Drama",The story of Sir J.M. Barrie's friendship with a family who inspired him to create Peter Pan.
33,134.Mystic River(2003),138 min,R,"Crime, Drama, Mystery","The story of the life and career of the legendary rhythm and blues musician Ray Charles, from his humble beginnings in the South, where he went blind at age seven, to his meteoric rise to stardom during the 1950s and 1960s."
34,135.Seabiscuit(2003),140 min,PG-13,"Drama, History, Sport","Two men reaching middle age with not much to show but disappointment embark on a week-long road trip through California's wine country, just as one is about to take a trip down the aisle."
35,136.Chicago(2002),113 min,PG-13,"Comedy, Crime, Musical",Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
36,137.Gangs of New York(2002),167 min,R,"Crime, Drama",
37,138.The Hours(2002),110 min,PG-13,"Drama, Romance",A faded movie star and a neglected young woman form an unlikely bond after crossing paths in Tokyo.
38,139.The Lord of the Rings: The Two Towers(2002),179 min,PG-13,"Action, Adventure, Drama","During the Napoleonic Wars, a brash British captain pushes his ship and crew to their limits in pursuit of a formidable French war vessel around South America."
39,140.The Pianist(2002),150 min,R,"Biography, Drama, Music",The lives of three men who were childhood friends are shattered when one of them has a family tragedy.
40,141.A Beautiful Mind(2001),135 min,PG-13,"Biography, Drama",True story of the undersized Depression-era racehorse whose victories lifted not only the spirits of the team behind it but also those of their nation.
41,142.Gosford Park(2001),137 min,R,"Comedy, Drama, Mystery","Two death-row murderesses develop a fierce rivalry while competing for publicity, celebrity, and a sleazy lawyer's attention."
42,143.In the Bedroom(2001),131 min,R,"Crime, Drama",
43,144.The Lord of the Rings: The Fellowship of the Ring(2001),178 min,PG-13,"Action, Adventure, Drama","In 1862, Amsterdam Vallon returns to the Five Points area of New York City seeking revenge against Bill the Butcher, his father's killer."
44,145.Moulin Rouge!(2001),127 min,PG-13,"Drama, Musical, Romance","The story of how the novel ""Mrs. Dalloway"" affects three generations of women, all of whom, in one way or another, have had to deal with suicide in their lives."
45,146.Gladiator(2000),155 min,R,"Action, Adventure, Drama","While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
