,category,nominee,year,winner
469,Actress,Norma Shearer,1937,1.0
470,Actress in a Supporting Role,Gale Sondergaard,1937,1.0
471,Actress in a Supporting Role,Beulah Bondi,1937,0.0
472,Actress in a Supporting Role,Alice Brady,1937,1.0
473,Actress in a Supporting Role,Bonita Granville,1937,0.0
474,Actress in a Supporting Role,Maria Ouspenskaya,1937,0.0
475,Art Direction,Dodsworth,1937,1.0
476,Art Direction,Anthony Adverse,1937,0.0
477,Art Direction,The Great Ziegfeld,1937,0.0
478,Art Direction,Lloyds of London,1937,0.0
479,Art Direction,The Magnificent Brute,1937,0.0
480,Art Direction,Romeo and Juliet,1937,0.0
481,Art Direction,Winterset,1937,0.0
482,Assistant Director,The Charge of the Light Brigade,1937,1.0
483,Assistant Director,Anthony Adverse,1937,0.0
484,Assistant Director,The Garden of Allah,1937,0.0
485,Assistant Director,The Last of the Mohicans,1937,0.0
486,Assistant Director,San Francisco,1937,0.0
487,Cinematography,Anthony Adverse,1937,1.0
488,Cinematography,The General Died at Dawn,1937,0.0
489,Cinematography,The Gorgeous Hussy,1937,0.0
490,Dance Direction,The Great Ziegfeld,1937,1.0
491,Dance Direction,Gold Diggers of 1937,1937,0.0
492,Dance Direction,Cain and Mabel,1937,0.0
493,Dance Direction,Born to Dance,1937,0.0
494,Dance Direction,One in a Million,1937,0.0
495,Dance Direction,Dancing Pirate,1937,0.0
496,Dance Direction,Swing Time,1937,0.0
497,Directing,Mr. Deeds Goes to Town,1937,1.0
498,Directing,Dodsworth,1937,0.0
499,Directing,The Great Ziegfeld,1937,0.0
500,Directing,My Man Godfrey,1937,0.0
501,Directing,San Francisco,1937,0.0
502,Film Editing,Anthony Adverse,1937,1.0
503,Film Editing,Come and Get It,1937,0.0
504,Film Editing,The Great Ziegfeld,1937,0.0
505,Film Editing,Lloyds of London,1937,0.0
506,Film Editing,A Tale of Two Cities,1937,0.0
507,Film Editing,Theodora Goes Wild,1937,0.0
508,Music (Scoring),Anthony Adverse,1937,1.0
509,Music (Scoring),The Charge of the Light Brigade,1937,0.0
510,Music (Scoring),The Garden of Allah,1937,0.0
511,Music (Scoring),The General Died at Dawn,1937,0.0
512,Music (Scoring),Winterset,1937,0.0
513,Music (Song),Swing Time,1937,1.0
514,Music (Song),Suzy,1937,0.0
515,Music (Song),Born to Dance,1937,0.0
516,Music (Song),Trail of the Lonesome Pine,1937,0.0
517,Music (Song),Pennies from Heaven,1937,0.0
518,Music (Song),"Sing, Baby, Sing",1937,0.0
519,Outstanding Production,The Great Ziegfeld,1937,1.0
520,Outstanding Production,Anthony Adverse,1937,0.0
521,Outstanding Production,Dodsworth,1937,0.0
522,Outstanding Production,Libeled Lady,1937,0.0
523,Outstanding Production,Mr. Deeds Goes to Town,1937,0.0
524,Outstanding Production,Romeo and Juliet,1937,0.0
525,Outstanding Production,San Francisco,1937,0.0
526,Outstanding Production,The Story of Louis Pasteur,1937,0.0
527,Outstanding Production,A Tale of Two Cities,1937,0.0
528,Outstanding Production,Three Smart Girls,1937,0.0
529,Short Subject (Cartoon),The Country Cousin,1937,1.0
530,Short Subject (Cartoon),Old Mill Pond,1937,0.0
531,Short Subject (Cartoon),Sinbad the Sailor,1937,0.0
532,Short Subject (Color),Give Me Liberty,1937,1.0
533,Short Subject (Color),La Fiesta de Santa Barbara,1937,0.0
534,Short Subject (Color),Popular Science J-6-2,1937,0.0
535,Short Subject (One-reel),Bored of Education,1937,1.0
536,Short Subject (One-reel),Moscow Moods,1937,0.0
537,Short Subject (One-reel),"Wanted, a Master",1937,0.0
538,Short Subject (Two-reel),The Public Pays,1937,1.0
539,Short Subject (Two-reel),Double or Nothing,1937,0.0
540,Short Subject (Two-reel),Dummy Ache,1937,0.0
541,Sound Recording,San Francisco,1937,1.0
542,Sound Recording,Banjo on My Knee,1937,0.0
543,Sound Recording,The Charge of the Light Brigade,1937,0.0
544,Sound Recording,Dodsworth,1937,0.0
545,Sound Recording,General Spanky,1937,0.0
546,Sound Recording,Mr. Deeds Goes to Town,1937,0.0
547,Sound Recording,The Texas Rangers,1937,0.0
548,Sound Recording,That Girl from Paris,1937,0.0
549,Sound Recording,Three Smart Girls,1937,0.0
550,Special Award,The Garden of Allah,1937,1.0
