,film,film_studio,film_studio/producer(s),producer(s),films,oscars_year
412,The Mission,,,Fernando Ghia and David Puttnam,,1986
413,A Room with a View,,,Ismail Merchant,,1986
414,,,,,,1987
415,The Last Emperor,,,Jeremy Thomas,,1987
416,Broadcast News,,,James L. Brooks,,1987
417,Fatal Attraction,,,Stanley R. Jaffe and Sherry Lansing,,1987
418,Hope and Glory,,,John Boorman,,1987
419,Moonstruck,,,Patrick J. Palmer and Norman Jewison,,1987
420,,,,,,1988
421,Rain Man,,,Mark Johnson,,1988
422,The Accidental Tourist,,,"Lawrence Kasdan, Charles Okun, and Michael Grillo",,1988
423,Dangerous Liaisons,,,Norma Heyman and Hank Moonjean,,1988
424,Mississippi Burning,,,Frederick Zollo and Robert F. Colesberry,,1988
425,Working Girl,,,Douglas Wick,,1988
426,,,,,,1989
427,Driving Miss Daisy,,,Richard D. Zanuck and Lili Fini Zanuck,,1989
428,Born on the Fourth of July,,,A. Kitman Ho and Oliver Stone,,1989
429,Dead Poets Society,,,"Steven Haft, Paul Junger Witt, and Tony Thomas",,1989
430,Field of Dreams,,,Lawrence Gordon and Charles Gordon,,1989
431,My Left Foot,,,Noel Pearson,,1989
432,,,,,,1990
433,Dances with Wolves,,,Jim Wilson and Kevin Costner,,1990
434,Awakenings,,,Walter Parkes and Lawrence Lasker,,1990
435,Ghost,,,Lisa Weinstein,,1990
436,The Godfather Part III,,,Francis Ford Coppola,,1990
437,Goodfellas,,,Irwin Winkler,,1990
438,,,,,,1991
439,The Silence of the Lambs,,,"Edward Saxon, Kenneth Utt, and Ron Bozman",,1991
440,Beauty and the Beast,,,Don Hahn,,1991
441,Bugsy,,,"Mark Johnson, Barry Levinson and Warren Beatty",,1991
442,JFK,,,A. Kitman Ho and Oliver Stone,,1991
443,The Prince of Tides,,,Barbra Streisand and Andrew S. Karsch,,1991
444,,,,,,1992
445,Unforgiven,,,Clint Eastwood,,1992
446,The Crying Game,,,Stephen Woolley,,1992
447,A Few Good Men,,,"David Brown, Rob Reiner, and Andrew Scheinman",,1992
448,Howards End,,,Ismail Merchant,,1992
449,Scent of a Woman,,,Martin Brest,,1992
450,,,,,,1993
451,Schindler's List,,,"Steven Spielberg, Gerald R. Molen, and Branko Lustig",,1993
452,The Fugitive,,,Arnold Kopelson,,1993
453,In the Name of the Father,,,Jim Sheridan,,1993
454,The Piano,,,Jan Chapman,,1993
455,The Remains of the Day,,,"Mike Nichols, John Calley, and Ismail Merchant",,1993
456,,,,,,1994
457,Forrest Gump,,,"Wendy Finerman, Steve Tisch, and Steve Starkey",,1994
458,Four Weddings and a Funeral,,,Duncan Kenworthy,,1994
459,Pulp Fiction,,,Lawrence Bender,,1994
460,Quiz Show,,,"Michael Jacobs, Julian Krainin, Michael Nozik, and Robert Redford",,1994
461,The Shawshank Redemption,,,Niki Marvin,,1994
462,,,,,,1995
463,Braveheart,,,"Mel Gibson, Alan Ladd Jr., and Bruce Davey",,1995
464,Apollo 13,,,Brian Grazer,,1995
465,Babe,,,"Bill Miller, George Miller, and Doug Mitchell",,1995
466,The Postman (Il Postino),,,"Mario Cecchi Gori, Vittorio Cecchi Gori, and Gaetano Daniele",,1995
467,Sense and Sensibility,,,Lindsay Doran,,1995
468,,,,,,1996
469,The English Patient,,,Saul Zaentz,,1996
470,Fargo,,,Ethan Coen,,1996
471,Jerry Maguire,,,"James L. Brooks, Laurence Mark, Richard Sakai, and Cameron Crowe",,1996
472,Secrets & Lies,,,Simon Channing-Williams,,1996
473,Shine,,,Jane Scott,,1996
474,,,,,,1997
475,Titanic,,,James Cameron and Jon Landau,,1997
476,As Good as It Gets,,,"James L. Brooks, Bridget Johnson, and Kristi Zea",,1997
477,The Full Monty,,,Uberto Pasolini,,1997
478,Good Will Hunting,,,Lawrence Bender,,1997
479,L.A. Confidential,,,"Curtis Hanson, Arnon Milchan, and Michael Nathanson",,1997
480,,,,,,1998
481,Shakespeare in Love,,,"David Parfitt, Donna Gigliotti, Harvey Weinstein, Edward Zwick, and Marc Norman",,1998
482,Elizabeth,,,"Alison Owen, Eric Fellner and Tim Bevan",,1998
483,Life Is Beautiful,,,Elda Ferri and Gianluigi Braschi,,1998
484,Saving Private Ryan,,,"Steven Spielberg, Ian Bryce, Mark Gordon, and Gary Levinsohn",,1998
485,The Thin Red Line,,,"Robert Michael Geisler, John Roberdeau, and Grant Hill",,1998
486,,,,,,1999
487,American Beauty,,,Bruce Cohen and Dan Jinks,,1999
488,The Cider House Rules,,,Richard N. Gladstein,,1999
489,The Green Mile,,,Frank Darabont and David Valdes,,1999
490,The Insider,,,Pieter Jan Brugge and Michael Mann,,1999
491,The Sixth Sense,,,"Frank Marshall, Kathleen Kennedy, and Barry Mendel",,1999
492,,,,,,2000
493,Gladiator,,,"Douglas Wick, David Franzoni, and Branko Lustig",,2000
