,title,rating,genre,summary,gross,release_year,category,nominee,oscar_year,winner,genre_1,genre_2,genre_3,runtime_min,Year,avg_cpi,cpi_2020,gross_adjusted
65,Silver Linings Playbook,R,"Comedy, Drama, Romance","After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own.",132092958,2012,Best Picture,Silver Linings Playbook,2013,0,Comedy, Drama, Romance,122,2013,232.9570833,258.811167,146752921.7
66,Argo,R,"Biography, Drama, Thriller","Acting under the cover of a Hollywood producer scouting a location for a science fiction film, a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1979.",136025503,2012,Best Picture,Argo,2013,1,Biography, Drama, Thriller,120,2013,232.9570833,258.811167,151121909.1
67,Les Misérables,PG-13,"Drama, Musical, Romance","In 19th-century France, Jean Valjean, who for decades has been hunted by the ruthless policeman Javert after breaking parole, agrees to care for a factory worker's daughter. The decision changes their lives forever.",148809770,2012,Best Picture,Les Mis_rables,2013,0,Drama, Musical, Romance,158,2013,232.9570833,258.811167,165325001.9
68,Django Unchained,R,"Drama, Western","With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation-owner in Mississippi.",162805434,2012,Best Picture,Django Unchained,2013,0,Drama, Western,,165,2013,232.9570833,258.811167,180873935.1
69,Lincoln,PG-13,"Biography, Drama, History","As the American Civil War continues to rage, America's president struggles with continuing carnage on the battlefield as he fights with many inside his own cabinet on the decision to emancipate the slaves.",182207973,2012,Best Picture,Lincoln,2013,0,Biography, Drama, History,150,2013,232.9570833,258.811167,202429810.1
70,The Tree of Life,PG-13,"Drama, Fantasy","The story of a family in Waco, Texas in The eldest son witnesses the loss of innocence and struggles with his parents' conflicting teachings.",13303319,2011,Best Picture,The Tree of Life,2012,0,Drama, Fantasy,,139,2012,229.5939167,258.811167,14996248.88
71,Extremely Loud & Incredibly Close,PG-13,"Adventure, Drama, Mystery","A nine-year-old amateur inventor, Francophile, and pacifist searches New York City for the lock that matches a mysterious key left behind by his father, who died in the World Trade Center on September 11, 2001.",31847881,2011,Best Picture,Extremely Loud & Incredibly Close,2012,0,Adventure, Drama, Mystery,129,2012,229.5939167,258.811167,35900721.44
72,The Artist,PG-13,"Comedy, Drama, Romance",An egomaniacal film star develops a relationship with a young dancer against the backdrop of Hollywood's silent era.,44671682,2011,Best Picture,The Artist,2012,1,Comedy, Drama, Romance,100,2012,229.5939167,258.811167,50356430.68
73,Midnight in Paris,PG-13,"Comedy, Fantasy, Romance","While on a trip to Paris with his fiancée's family, a nostalgic screenwriter finds himself mysteriously going back to the 1920s every day at midnight.",56816662,2011,Best Picture,Midnight in Paris,2012,0,Comedy, Fantasy, Romance,94,2012,229.5939167,258.811167,64046934.73
74,Hugo,PG,"Adventure, Drama, Family","In 1931 Paris, an orphan living in the walls of a train station gets wrapped up in a mystery involving his late father and an automaton.",73864507,2011,Best Picture,Hugo,2012,0,Adventure, Drama, Family,126,2012,229.5939167,258.811167,83264223.77
75,Moneyball,PG-13,"Biography, Drama, Sport",Oakland A's general manager Billy Beane's successful attempt to assemble a baseball team on a lean budget by employing computer-generated analysis to acquire new players.,75605492,2011,Best Picture,Moneyball,2012,0,Biography, Drama, Sport,133,2012,229.5939167,258.811167,85226759.91
