,title,runtime,rating,genre,summary,gross,year
99,District ,112 min,R,"Action, Sci-Fi, Thriller",Violence ensues after an extraterrestrial race forced to live in slum-like conditions on Earth finds a kindred spirit in a government agent exposed to their biotechnology.,"115,646,235",2009
0,Inglourious Basterds,153 min,R,"Adventure, Drama, War","In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.","120,540,719",2009
1,Precious,110 min,R,Drama,"In New York City's Harlem circa 1987, an overweight, abused, illiterate teen who is pregnant with her second child is invited to enroll in an alternative school in hopes that she can re-route her life in a better direction.","47,395,661",2009
2,The Blind Side,129 min,PG-13,"Biography, Drama, Sport","The story of Michael Oher, a homeless and traumatized boy who became an All-American football player and first-round NFL draft pick with the help of a caring woman and her family.","255,959,475",2009
3,Up,96 min,PG,"Animation, Adventure, Comedy","78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.","293,004,164",2009
4,Up in the Air,109 min,R,"Comedy, Drama, Romance","Ryan Bingham enjoys living out of a suitcase for his job, travelling around the country firing people, but finds that lifestyle threatened by the presence of a potential love interest, and a new hire presenting a new business model.","83,823,381",2009
5,Slumdog Millionaire,120 min,R,"Crime, Drama, Romance","A Mumbai teenager reflects on his life after being accused of cheating on the Indian version of ""Who Wants to be a Millionaire?"".","141,319,928",2008
6,The Curious Case of Benjamin Button,166 min,PG-13,"Drama, Fantasy, Romance","Tells the story of Benjamin Button, a man who starts aging backwards with consequences.","127,509,326",2008
7,Frost/Nixon,122 min,R,"Biography, Drama, History",A dramatic retelling of the post-Watergate television interviews between British talk-show host David Frost and former president Richard Nixon.,"18,593,156",2008
8,Milk,128 min,R,"Biography, Crime, Drama",The story of Harvey Milk and his struggles as an American gay activist who fought for gay rights and became California's first openly gay elected official.,"31,841,299",2008
9,The Reader,124 min,R,"Drama, Romance","Post-WWII Germany: Nearly a decade after his affair with an older woman came to a mysterious end, law student Michael Berg re-encounters his former lover as she defends herself in a war-crime trial.","34,194,407",2008
10,No Country for Old Men,122 min,R,"Crime, Drama, Thriller",Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,"74,283,625",2007
11,Atonement,123 min,R,"Drama, Mystery, Romance",Thirteen-year-old fledgling writer Briony Tallis irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit.,"50,927,067",2007
12,Juno,96 min,PG-13,"Comedy, Drama","Faced with an unplanned pregnancy, an offbeat young woman makes an unusual decision regarding the unborn child.","143,495,265",2007
13,Michael Clayton,119 min,R,"Crime, Drama, Mystery","A law firm brings in its ""fixer"" to remedy the situation after a lawyer has a breakdown while representing a chemical company that he knows is guilty in a multibillion-dollar class action suit.","49,033,882",2007
14,There Will Be Blood,158 min,R,Drama,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.","40,222,514",2007
15,The Departed,151 min,R,"Crime, Drama, Thriller",An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,"132,384,315",2006
16,Babel,143 min,R,Drama,"Tragedy strikes a married couple on vacation in the Moroccan desert, touching off an interlocking story involving four different families.","34,302,837",2006
17,Letters from Iwo Jima,141 min,R,"Action, Adventure, Drama","The story of the battle of Iwo Jima between the United States and Imperial Japan during World War II, as told from the perspective of the Japanese who fought it.","13,756,082",2006
18,Little Miss Sunshine,101 min,R,"Comedy, Drama",A family determined to get their young daughter into the finals of a beauty pageant take a cross-country trip in their VW bus.,"59,891,098",2006
19,The Queen,103 min,PG-13,"Biography, Drama","After the death of Princess Diana, Queen Elizabeth II struggles with her reaction to a sequence of events nobody could have predicted.","56,441,711",2006
20,Crash,112 min,R,"Crime, Drama, Thriller","Los Angeles citizens with vastly separate lives collide in interweaving stories of race, loss and redemption.","54,580,300",2004
21,Brokeback Mountain,134 min,R,"Drama, Romance",Ennis and Jack are two shepherds who develop a sexual and emotional relationship. Their relationship becomes complicated when both of them get married to their respective girlfriends.,"83,043,761",2005
22,Capote,114 min,R,"Biography, Crime, Drama","In 1959, Truman Capote learns of the murder of a Kansas family and decides to write a book about the case. While researching for his novel In Cold Blood, Capote forms a relationship with one of the killers, Perry Smith, who is on death row.","28,747,570",2005
23,"Good Night, and Good Luck",93 min,PG,"Biography, Drama, History",Broadcast journalist Edward R. Murrow looks to bring down Senator Joseph McCarthy.,"31,501,218",2005
24,Munich,164 min,R,"Action, Drama, History","After the Black September capture and massacre of Israeli athletes at the 1972 Olympics, five men are chosen to eliminate the people responsible for that fateful day.","47,403,685",2005
25,Million Dollar Baby,132 min,PG-13,"Drama, Sport",A determined woman works with a hardened boxing trainer to become a professional.,"100,492,203",2004
26,The Aviator,170 min,PG-13,"Biography, Drama",A biopic depicting the early years of legendary director and aviator Howard Hughes' career from the late 1920s to the mid 1940s.,"102,608,827",2004
27,Finding Neverland,106 min,PG,"Biography, Drama, Family",The story of Sir J.M. Barrie's friendship with a family who inspired him to create Peter Pan.,"51,680,613",2004
28,Ray,152 min,PG-13,"Biography, Drama, Music","The story of the life and career of the legendary rhythm and blues musician Ray Charles, from his humble beginnings in the South, where he went blind at age seven, to his meteoric rise to stardom during the 1950s and 1960s.","75,331,600",2004
29,Sideways,127 min,R,"Comedy, Drama, Romance","Two men reaching middle age with not much to show but disappointment embark on a week-long road trip through California's wine country, just as one is about to take a trip down the aisle.","71,503,593",2004
30,The Lord of the Rings: The Return of the King,201 min,PG-13,"Action, Adventure, Drama",Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,"377,845,905",2003
31,Lost in Translation,102 min,R,"Comedy, Drama",A faded movie star and a neglected young woman form an unlikely bond after crossing paths in Tokyo.,"44,585,453",2003
32,Master and Commander: The Far Side of the World,138 min,PG-13,"Action, Adventure, Drama","During the Napoleonic Wars, a brash British captain pushes his ship and crew to their limits in pursuit of a formidable French war vessel around South America.","93,927,920",2003
33,Mystic River,138 min,R,"Crime, Drama, Mystery",The lives of three men who were childhood friends are shattered when one of them has a family tragedy.,"90,135,191",2003
34,Seabiscuit,140 min,PG-13,"Drama, History, Sport",True story of the undersized Depression-era racehorse whose victories lifted not only the spirits of the team behind it but also those of their nation.,"120,277,854",2003
35,Chicago,113 min,PG-13,"Comedy, Crime, Musical","Two death-row murderesses develop a fierce rivalry while competing for publicity, celebrity, and a sleazy lawyer's attention.","170,687,518",2002
36,Gangs of New York,167 min,R,"Crime, Drama","In 1862, Amsterdam Vallon returns to the Five Points area of New York City seeking revenge against Bill the Butcher, his father's killer.","77,812,000",2002
37,The Hours,110 min,PG-13,"Drama, Romance","The story of how the novel ""Mrs. Dalloway"" affects three generations of women, all of whom, in one way or another, have had to deal with suicide in their lives.","41,675,994",2002
38,The Lord of the Rings: The Two Towers,179 min,PG-13,"Action, Adventure, Drama","While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.","342,551,365",2002
39,The Pianist,150 min,R,"Biography, Drama, Music",A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,"32,572,577",2002
40,A Beautiful Mind,135 min,PG-13,"Biography, Drama","After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.","170,742,341",2001
41,Gosford Park,137 min,R,"Comedy, Drama, Mystery","Set in the 1930s, this movie brings a group of pretentious rich and famous together for a weekend of relaxation at a hunting resort. But when a murder occurs, each one of these interesting characters becomes a suspect.","41,308,615",2001
42,In the Bedroom,131 min,R,"Crime, Drama",A New England couple's college-aged son dates an older woman who has two small children and an unwelcome ex-husband.,"35,930,604",2001
43,The Lord of the Rings: The Fellowship of the Ring,178 min,PG-13,"Action, Adventure, Drama",A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,"315,544,750",2001
44,Moulin Rouge!,127 min,PG-13,"Drama, Musical, Romance",A poor Bohemian poet in 1890s Paris falls for a beautiful courtesan and nightclub star coveted by a jealous duke.,"57,386,607",2001
45,Gladiator,155 min,R,"Action, Adventure, Drama",A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,"187,705,427",2000
46,Chocolat,121 min,PG-13,"Drama, Romance",A French woman and her young daughter open up a chocolate shop in a small remote village that shakes up the rigid morality of the community.,"71,509,363",2000
47,"Crouching Tiger, Hidden Dragon",120 min,PG-13,"Action, Adventure, Drama",A young Chinese warrior steals a sword from a famed swordsman and then escapes into a world of romantic adventure with a mysterious man in the frontier of the nation.,"128,078,872",2000
48,Erin Brockovich,131 min,R,"Biography, Drama",An unemployed single mother becomes a legal assistant and almost single-handedly brings down a California power company accused of polluting a city's water supply.,"125,595,205",2000
49,Traffic,147 min,R,"Crime, Drama, Thriller","A conservative judge is appointed by the President to spearhead America's escalating war against drugs, only to discover that his teenage daughter is a crack addict. Two DEA agents protect an informant. A jailed drug baron's wife attempts to carry on the family business.","124,115,725",2000
50,American Beauty,122 min,R,Drama,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,"130,096,601",1999
51,The Cider House Rules,126 min,PG-13,"Drama, Romance","A compassionate young man, raised in an orphanage and trained to be a doctor there, decides to leave to see the world.","57,545,092",1999
